state,code,ppcs,pp_rev_total,pp_rev_fed,pp_rev_state,pp_rev_local,sat_total,sat_erw,sat_math,sat_perc,act_total,act_eng,act_math,act_read,act_sci,act_perc,g4_read,g4_math,g8_read,g8_math
Alabama,AL,"11,819","14,300","2,481","7,415","4,404",1146,586,560,4,18.0,17.3,17.4,18.5,18.2,100,213 ,245 ,251 ,297 
Alaska,AK,"20,191","21,311","4,396","12,341","4,575",1110,565,545,26,20.4,19.3,20.0,21.4,20.4,14,236 ,254 ,279 ,315 
Arizona,AZ,"10,315","13,360","2,626","5,482","5,252",1159,583,577,14,18.4,17.3,18.5,18.8,18.5,64,225 ,240 ,276 ,296 
Arkansas,AR,"12,159","14,268","2,913","9,553","1,802",1191,610,581,2,18.8,18.3,18.1,19.2,19.1,93,229 ,237 ,261 ,278 
California,CA,"17,049","21,748","3,047","11,462","7,239",1115,560,555,21,26.5,26.9,25.6,27.3,25.8,4,224 ,241 ,265 ,289 
Colorado,CO,"13,422","16,477","1,740","6,372","8,364",1021,518,503,84,23.2,23.0,22.4,24.0,23.0,15,233 ,253 ,271 ,292 
Connecticut,CT,"24,453","28,363","2,274","10,069","16,020",1025,520,505,89,26.3,26.8,25.3,27.1,25.7,9,222 ,240 ,265 ,293 
Delaware,DE,"19,357","21,713","2,778","12,158","6,776",968,491,477,95,24.9,25.3,23.6,26.1,24.3,5,223 ,241 ,264 ,292 
District of Columbia,DC,"27,425","32,846","4,546",0,"28,299",985,502,484,100,26.9,27.4,25.2,28.2,26.0,18,233 ,252 ,269 ,
Florida,FL,"11,076","13,275","2,352","4,285","6,638",983,510,473,87,19.0,18.5,18.4,20.0,18.8,46,221 ,232 ,265 ,
Georgia,GA,"13,619","16,401","2,591","6,517","7,293",1060,541,520,54,21.6,21.0,20.8,22.5,21.5,30,232 ,242 ,271 ,283 
Hawaii,HI,"17,420","20,584","2,987","17,436",161,1124,566,558,31,18.8,17.6,18.6,19.4,19.1,53,221 ,242 ,263 ,289 
Idaho,ID,"9,670","11,540","2,096","6,762","2,682",986,499,488,97,22.8,22.3,22.2,23.7,22.6,15,221 ,241 ,262 ,296 
Illinois,IL,"18,927","23,043","2,456","9,202","11,385",981,495,485,97,24.5,24.8,23.7,25.2,24.0,18,237 ,257 ,285 ,304 
Indiana,IN,"12,322","15,397","1,910","8,860","4,627",1073,540,533,48,22.8,22.1,22.5,23.7,22.5,13,232 ,244 ,271 ,302 
Iowa,IA,"13,259","16,331","2,169","8,138","6,024",1196,602,594,3,21.4,20.4,20.6,22.3,21.6,49,197 ,226 ,238 ,262 
Kansas,KS,"14,408","15,927","1,607","10,377","3,943",1238,621,617,2,19.9,18.9,19.4,20.6,20.1,73,226 ,249 ,287 ,302 
Kentucky,KY,"13,549","16,243","3,224","7,677","5,342",1219,618,600,2,18.6,17.8,18.0,19.2,18.7,96,223 ,241 ,267 ,282 
Louisiana,LA,"14,928","17,770","3,197","6,254","8,319",1171,597,574,3,18.1,17.6,17.4,18.6,18.3,100,220 ,241 ,262 ,
Maine,ME,"17,885","20,563","2,107","8,267","10,189",1081,549,532,43,25.1,25.2,23.7,26.2,24.6,2,,,,
Maryland,MD,"17,753","21,216","2,430","8,596","10,190",1075,546,529,54,24.4,24.6,23.0,25.4,23.9,8,223 ,254 ,272 ,
Massachusetts,MA,"21,906","24,274","2,280","10,208","11,787",1129,567,561,55,26.5,26.6,25.6,27.3,25.8,9,242 ,249 ,279 ,297 
Michigan,MI,"15,719","19,318","3,063","10,138","6,117",1000,506,495,84,24.6,24.7,23.9,25.2,24.2,8,225 ,246 ,251 ,287 
Minnesota,MN,"15,441","18,807","2,208","11,204","5,395",1225,613,612,3,21.0,19.7,20.7,21.7,21.4,69,223 ,239 ,266 ,290 
